"(TTS), computed throughput in pages per second, and the peak memory used (resident set size) for","","","","","","",""
"both the Docling-native PDF backend and for the pypdfium backend, using 4 and 16 threads.","","","","","","",""
"","Thread","","native backend","","","pypdfium backend",""
"CPU","","","","","","",""
"","budget","","","","","",""
"","","TTS","Pages/s","Mem","TTS","Pages/s","Mem"
"Apple M3 Max","4","177 s","1.27","","103 s","2.18",""
"","","","","6.20 GB","","","2.56 GB"
"(16 cores)","16","167 s","1.34","","92 s","2.45",""
"Intel(R) Xeon","4","375 s","0.60","","239 s","0.94",""
"","","","","6.16 GB","","","2.42 GB"
"E5-2690","16","244 s","0.92","","143 s","1.57",""
"(16 cores)","","","","","","",""
